text	sentiment
AmericanAir why would I even consider continuing your point program when I received no perks or continued bad customer service? #senseless	0
AmericanAir we've already made other arrangements ourselves.	0
AmericanAir thanks for getting back to me. But I will find other airlines in the future.	0
AmericanAir why would I pay $200 to reactivate my points that are only useful for certain flights that aren't even worth $200?	0
AmericanAir stranded for 24 hours in MIA, Patrick casimir has been the ONLY AA staff to apologize for the great inconvenience #unreal	0
AmericanAir no thanks.  As I said, being denied miles that expired one week ago was the last drop for me; plan to avoid AA as possible.	0
AmericanAir sorry so Late Flight, responded to your DM.	0
AmericanAir Believe me, I understand. Flight #2955. Was originally booked for Sunday. Flight was Cancelled Flighted and rescheduled for today.	1
AmericanAir aa employees were rude and unwilling to help. 10,000 miles is a rotten cherry on top of a dog shit Sunday. #nocareforcustomers	0
AmericanAir Mold on my flight?!? US3825 #filthyplane #hopeidonotgetsick http://t.co/zIK2UoXGnW	0
AmericanAir 767 seconds from touchdown at Madrid airport in April 2013 #AvGeek http://t.co/1yWXRfn0Gr	0
AmericanAir I slept in the miami airport due to mechanical issues and was given 10,000 bonus miles to try and make it right. #slapintheface	0
AmericanAir is the new 9:45 time confirmed or it may get Cancelled Flightled? Traveling with kids, need to be certain. Thx	0
AmericanAir 1hr 46 min. Cost of flight change $788. Was $188 2hrs ago b/f drop call. Cancelled Flighted flight. Asked 4 refund.	0
AmericanAir it's not just frustrating--it was PAID for! how do we get a refund?	0
AmericanAir DM the locator code, thanks.	0
AmericanAir thank you!	1
AmericanAir I sure hope you all can fix @USAirways. Good luck, their service sucks. #nexttimeiwillflysouthwest	0
AmericanAir thanks for no fresh food on my cross country flight and for making my connection so close No time to eat. TPA-DFW-LAX	0
AmericanAir my flight got Cancelled Flightled from GRK to DFW, then to LEX for tomorrow and I need it rebooked.	0
AmericanAir Do you have any sort of live chat feature? We're in the UK right now and that call would cost us alot. :(	0
AmericanAir your planes made me miss 2 connections in 2 days. Thanks for nothing	0
AmericanAir I purchased Main Cabin XT for f-1571AUS. Flight was Cancelled Flightled and I was rescheduled on 1600 with regular seats. Credit?	0
.AmericanAir just disappointed with the Flight Booking Problems process and add’l fees to sit together on a more crowded flight. Not impressed so far :-/.	0
AmericanAir thanks	1
AmericanAir thx for responding. I cant watch 2 mins of this film w/out it cutting in and out 4 prolonged prds of time. beyond frustrating	0
AmericanAir I did	0
.AmericanAir can you connect me to a person without having to wait 2+ hours on hold? I still haven't been able to resolve the problem.	0
AmericanAir r u serious?? 304min #delay with #AmericanAirlines #AA2444 #ohio - #dallas missed my connecting flight http://t.co/DNMsblzumr	0
AmericanAir You are jumping the gun and Cancelled Flighting flights that could've made it before the snow. Now, more Cancelled Flightlations. It's ridiculous.	0
AmericanAir I might look into that. My wife travels much more than I do. Could we both use the membership?	1
AmericanAir Thank you, you too!	0
AmericanAir What happens when you combine Top Chef &amp; the beauty of San Miguel de Allende. My Late Flightst food blog.  http://t.co/7t1rDRCRe6	0
AmericanAir Great, thanks. Followed.	1
AmericanAir This is exactly why ill be flying AA from @Dulles_Airport to Dallas! Only airline I trust!	1
AmericanAir This doesn't address my issue. I am on hold for 30 min to speak with an agent.	0
AmericanAir got another flight. Thanks you	1
AmericanAir u r horrible.went online to Cancelled Flight flight-no button-4that.Called CS &amp;wait time 40 mins&amp;put in my #.800#called&amp;it hungupNOHELP	0
AmericanAir submitted a case to AA customer relations two weeks ago, no word ever since! whats the point of even having CR?	0
AmericanAir if by near the gate you mean sitting on the plane for almost 2 hours, then yeah.	0
AmericanAir I don't think you should help him at all based on his behavior. The voucher and cot seem like enough lol 😃	1
AmericanAir still waiting for a flight... I should get my money back	0
AmericanAir I Cancelled Flighted my flight. I really don’t need this much trouble.	0
“AmericanAir: @Andrew_Wasila We're sorry you were uncomfortable, Andrew. What can we do for you?” SMA	0
AmericanAir Hi, can you please ticket my award ticket? The status is On Request now. Thanks.	0
AmericanAir got back eventually! Was a rollercoaster. Once I got to the airport &amp; got to speak to someone things got fixed very quick.	1
AmericanAir that's 16+ extra hours of travel time. Missed vacation time and now you guys are messing with my professional life.	0
AmericanAir Checked in on app since yesterday. Confirmed upgrade &amp; carry on, got to counter &amp; manager upgraded somebody else on my seat!	0
AmericanAir Trying desperately to get my boyfriend booked on the same US Airways flight as myself for the same price. Can you help?	0
AmericanAir yes yes yes,so glad to be headed home!	1
AmericanAir don't worry. I'll be sending a letter with what I expect from you for compensation. I fly twice a week w/you guys...for now	0
AmericanAir thanks!!	1
AmericanAir thanks keep me updated just hope I make either of my connections to Killeen Tx	1
AmericanAir I have been on hold w/customer service line for 68 minutes.  This after I was on phone with an agent for 35 min b/f call droped	0
AmericanAir I tried to book a rwrd and was told I couldnt. Bought tix on USAir (now AA-no choice) didn't bother to + AAdv# with this svc...	0
AmericanAir did you know that suicide is the second leading cause of death among teens 10-24?	0
AmericanAir narrowly made standby...lots of snags this trip!	0
AmericanAir @pbpinftworth iPhone 6 64GB (not 6 plus)	0
AmericanAir i ordered it as i always do. But on a 9hour flight delayed for 4 hours, it was worse than ever before when you forgot my meal.	0
AmericanAir thanks so much!	1
AmericanAir @RobertDwyer AA doesnt charge any fees to change award tickets as long as the origin, destination &amp; award type remains the same	1
AmericanAir I need a flight out tonight. Isn't there anything else?	0
AmericanAir thank you for the confirmation.	1
AmericanAir spent $8 for the choppiest feed of Whiplash ever. #americanairlinesfail #iwantmymoneyback	0
AmericanAir OK I will call them likely tmrw UK time to question the process getting the change charge reversed due to a bereavement	0
AmericanAir - Please find my bag!! In Singapore for three days already without my bag. Last known destination LAX Tag: 580815 Please help.	0
AmericanAir “Inconvenient” is such a convenient word.	0
AmericanAir
 Your response could have made all the difference. It could have made the situation better. NO TRUST...GET LOST like my bag.	0
AmericanAir delayed on the way to Puerto Rico and delayed on the way back to New York, this is disgraceful	0
AmericanAir That's ok...You may keep my $25 and lose my bag with no info, but you no longer have my trust. Bad way to handle this.	0
AmericanAir come on I just want to go home I can't miss another day of work #stuckinmemphis #texasisclosed	0
AmericanAir Here is the photo ;) http://t.co/VMqUURZUpW	0
AmericanAir you guys are killing me. http://t.co/22iPGeIcSm	0
AmericanAir Aww cool! It's nice to know they are still up above my head then. One of my faves.	1
AmericanAir what's the status of flight 1357 out of sju?	0
