text	sentiment
VirginAmerica What dhepburn said.	0
VirginAmerica plus you've added commercials to the experience... tacky.	1
VirginAmerica I didn't today... Must mean I need to take another trip!	0
VirginAmerica it's really aggressive to blast obnoxious entertainment in your guests' faces &amp; they have little recourse	0
VirginAmerica and it's a really big bad thing about it	0
VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA	0
VirginAmerica yes, nearly every time I fly VX this “ear worm” won’t go away :)	1
VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP	0
virginamerica Well, I didn't…but NOW I DO! :-D	1
VirginAmerica it was amazing, and arrived an hour early. You're too good to me.	1
VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24	0
VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D	1
VirginAmerica This is such a great deal! Already thinking about my 2nd trip to Australia &amp; I haven't even gone on my 1st trip yet! ;p	1
VirginAmerica virginmedia I'm flying your #fabulous #Seductive skies again! U take all the #stress away from travel http://t.co/ahlXHhKiyn	1
VirginAmerica Thanks!	1
VirginAmerica SFO-PDX schedule is still MIA.	0
VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo	1
VirginAmerica  I flew from NYC to SFO last week and couldn't fully sit in my seat due to two large gentleman on either side of me. HELP!	0
I ❤️ flying VirginAmerica. ☺️👍	1
VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.	1
VirginAmerica why are your first fares in May over three times more than other carriers when all seats are available to select???	0
VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA	1
VirginAmerica I love the hipster innovation. You are a feel good brand.	1
VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?	0
VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet	0
VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.	0
VirginAmerica What happened 2 ur vegan food options?! At least say on ur site so i know I won't be able 2 eat anything for next 6 hrs #fail	0
VirginAmerica do you miss me? Don't worry we'll be together very soon.	0
VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS	0
VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix	0
VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢	0
VirginAmerica Are the hours of operation for the Club at SFO that are posted online current?	0
VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!	0
VirginAmerica awaiting my return phone call, just would prefer to use your online self-service option :(	0
VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via Pacificbiznews	1
Nice RT VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP	0
VirginAmerica Moodlighting is the only way to fly! Best experience EVER! Cool and calming. 💜✈ #MoodlitMonday	1
VirginAmerica freddieawards Done and done! Best airline around, hands down!	1
VirginAmerica when can I book my flight to Hawaii??	0
VirginAmerica Your chat support is not working on your site: http://t.co/vhp2GtDWPk	0
VirginAmerica View of downtown Los Angeles, the Hollywood Sign, and beyond that rain in the mountains! http://t.co/Dw5nf0ibtr	1
VirginAmerica Hey, first time flyer next week - excited! But I'm having a hard time getting my flights added to my Elevate account. Help?	0
VirginAmerica plz help me win my bid upgrade for my flight 2/27 LAX---&gt;SEA!!!  🍷👍💺✈️	0
VirginAmerica I have an unused ticket but moved to a new city where you don't fly. How can I fly with you before it expires? #travelhelp	0
VirginAmerica are flights leaving Dallas for Seattle on time Feb 24?	0
VirginAmerica I'm #elevategold for a good reason: you rock!!	1
VirginAmerica  DREAM http://t.co/oA2dRfAoQ2 http://t.co/lWWdAc2kHx	0
VirginAmerica wow this just blew my mind	1
VirginAmerica ladygaga carrieunderwood After last night #tribute #SoundOfMusic #Oscars2015 ladygaga! I think carrieunderwood agree	0
VirginAmerica ladygaga carrieunderwood All were entertaining	0
VirginAmerica Is flight 769 on it's way? Was supposed to take off 30 minutes ago. Website still shows On Time not In Flight. Thanks.	0
VirginAmerica ladygaga carrieunderwood Julie Andrews all the way though ladygaga was very impressive! NO to Carrieunderwood	1
VirginAmerica wish you flew out of Atlanta... Soon?	0
VirginAmerica ladygaga carrieunderwood Julie Andrews. Hands down.	0
VirginAmerica Will flights be leaving Dallas for LA on February 24th?	0
VirginAmerica hi! i'm so excited about your $99 LGA-&gt;DAL deal- but i've been trying 2 book since last week &amp; the page never loads. thx!	0
VirginAmerica you know it. Need it on my spotify stat #guiltypleasures	1
VirginAmerica ladygaga carrieunderwood  I'm Lady Gaga!!! She is amazing! 😊	1
VirginAmerica ladygaga carrieunderwood - Carrie!	0
VirginAmerica New marketing song? https://t.co/F2LFULCbQ7 let us know what you think?	0
VirginAmerica ladygaga carrieunderwood Julie Andrews first but Lady Gaga wow'd me last night. Carrie? Meh.	0
VirginAmerica I called a 3-4 weeks ago about adding 3 flights from 2014 to my Elevate...they still haven't shown up...help!	0
VirginAmerica ladygaga carrieunderwood all are great , but I have to go with #CarrieUnderwood 😍👌	0
VirginAmerica LadyGaga CarrieUnderwood Sorry, Mary Martin had it first!	0
VirginAmerica ladygaga carrieunderwood  love all three but you really can't beat the classics!	1
VirginAmerica Flight 0736 DAL to DCA 2/24 2:10pm. Tried to check in could not. Status please.	0
VirginAmerica heyyyy guyyyys.. been trying to get through for an hour. can someone call me please? :/	0
VirginAmerica Hi, Virgin! I'm on hold for 40-50 minutes -- are there any earlier flights from LA to NYC tonight; earlier than 11:50pm?	0
VirginAmerica Congrats on winning the Travelzoo award for Best Deals from an Airline (US) http://t.co/kj1iljaebV	1
VirginAmerica everything was fine until you lost my bag	0
virginamerica Need to change reservation. Have Virgin credit card. Do I need to modify on phone to waive change fee? Or can I do online?	0
VirginAmerica I emailed your customer service team. Let me know if you need the tracking number.	0
VirginAmerica hi I just booked a flight but need to add baggage, how can I do this?	0
VirginAmerica your airline is awesome but your lax loft needs to step up its game. $40 for dirty tables and floors? http://t.co/hy0VrfhjHt	0
VirginAmerica not worried, it's been a great ride in a new plane with great crew. All airlines should be like this.	1
VirginAmerica awesome. I flew yall Sat morning. Any way we can correct my bill ?	1
VirginAmerica Or watch some of the best student films in the country at 35,000 feet! #CMFat35000feet http://t.co/KEK5pDMGiF	0
VirginAmerica first time flying you all. do you have a different rate/policy for media Bags? Thanks	0
VirginAmerica what is going on with customer service? Is there anyway to speak to a human asap? Thank you.	0
VirginAmerica what happened to Doom?!	0
VirginAmerica why can't you supp the biz traveler like SouthwestAir  and have customer service like JetBlue #neverflyvirginforbusiness	0
VirginAmerica I've applied more then once to be a member of the #inflight crew team...Im 100% interested. #flightattendant #dreampath -G	1
VirginAmerica you're the best!! Whenever I (begrudgingly) use any other airline I'm delayed and Late Flight :(	0
VirginAmerica I have no interesting flying with you after this. I will Cancelled Flight my next four flights I planned.#neverflyvirginforbusiness	0
VirginAmerica it was a disappointing experience which will be shared with every business traveler I meet. #neverflyvirgin	0
VirginAmerica I’m having trouble adding this flight my wife booked to my Elevate account. Help? http://t.co/pX8hQOKS3R	0
VirginAmerica Can't bring up my reservation online using Flight Booking Problems code	0
VirginAmerica Random Q: what's the distribution of elevate avatars? I bet that kitty has a disproportionate share http://t.co/APtZpuROp4	0
VirginAmerica I &lt;3 Flying VA But Life happens and I am trying to #change my trip JPERHI  Can you help.VA home page will not let me ?	0
VirginAmerica Why is the site down?  When will it be back up?	0
VirginAmerica You down with RNP? Yeah you know me!	0
VirginAmerica hi, i did not get points on my elevate account for my most recent flight, how do i add the flight and points to my account?	0
VirginAmerica I like the TV and interesting video . Just disappointed in Cancelled Flightled flight when other flights went out to jfk on Saturday .	0
VirginAmerica just landed in LAX, an hour after I should of been here. Your no Late Flight bag check is not business travel friendly #nomorevirgin	0
VirginAmerica why is flight 345 redirected?	0
VirginAmerica Is it me, or is your website down?  BTW, your new website isn't a great user experience.  Time for another redesign.	0
VirginAmerica I can't check in or add a bag. Your website isn't working. I've tried both desktop and mobile http://t.co/AvyqdMpi1Y	0
VirginAmerica - Let 2 scanned in passengers leave the plane than told someone to remove their bag from 1st class bin? #uncomfortable	0
virginamerica What is your phone number. I can't find who to call about a flight reservation.	0
VirginAmerica is anyone doing anything there today?  Website is useless and no one is answering the phone.	0
VirginAmerica trying to add my boy Prince to my ressie. SF this Thursday VirginAmerica from LAX http://t.co/GsB2J3c4gM	0
VirginAmerica why must a traveler miss a flight to Late Flight check a bag?  I missed my morning appointments and you lost my business. #sfo2lax	0
VirginAmerica check out new music http://t.co/maRcnOCWzn	0
virginamerica how's a direct flight FLL-&gt;SFO have unexpected layover in Vegas 4 fuel yet peeps next to me bought for Vegas flight. #sneaky	0
VirginAmerica your no Late Flight bag check just lost you my business. I missed flight and AM apt. Three other people on flight had same exp.	0
VirginAmerica - amazing customer  service, again! 💕💕 RaeAnn in SF - she's the best! #customerservice #virginamerica #flying	1
VirginAmerica called your service line and was hung up on. This is awesome. #sarcasm	0
VirginAmerica your site is tripping. I'm trying to check in and I'm getting the plain text version. I am reluctant to enter any card info.	0
VirginAmerica I was scheduled for SFO 2 DAL flight 714 today. Changed to 24th due weather. Looks like flight still on?	0
VirginAmerica has getaway deals through May, from $59 one-way. Lots of cool cities http://t.co/tZZJhuIbCH #CheapFlights #FareCompare	1
