text	sentiment
Wow... Loved this place.	1
Crust is not good.	0
The 10 best Steve Jobs emails ever...	0
Why AAPL Stock Had a Mini-Flash Crash Today	0
My cat only chews  cords.	0
I agree with @jimcramer that the #IndividualInvestor should own not trade #Apple #AAPL, it's extended so today's pullback is good to see	0

Apple:The 10 best Steve Jobs emails ever...http://t.co/82G1kL94tx	0
"RT @JPDesloges: Why AAPL Stock Had a Mini-Flash Crash Today $AAPL Apple
http://t.co/hGFcjYa0E9"	0
My cat only chews Apple cords. Such an AppleSnob.	0
"I agree with @jimcramer that the IndividualInvestor should own not trade Apple Apple, it's extended so today's pullback is good to see"	0
Nobody expects the Spanish Inquisition Apple	0
Apple:5 Rocket Stocks to Buy for December Gains: Apple and More...http://t.co/eG5XhXdLLS	0
Top 3 all Apple tablets. Damn right! http://t.co/RJiGn2JUuB	1
CNBCTV: Apple's margins better than expected? Apple http://t.co/7geVrtOGLK	1
Apple Inc. Flash Crash: What You Need to Know http://t.co/YJIgtifdAj Apple	0
Apple:This Presentation Shows What Makes The World's Biggest Tech Companies ...http://t.co/qlH9PqSoSd	0
WTF MY BATTERY WAS 31% ONE SECOND AGO AND NOW IS 29% WTF IS THIS Apple	1
Apple Watch Tops Search Engine List of Best Wearable Tech http://t.co/LTEzJzqqF8 Apple iWatch AppleWatch	0
"The Best-Designed iPhone Apps In the World, According to Apple: http://t.co/Razqvpxofg http://t.co/ev7uKWiEcz"	0
RT @peterpham: Bought my @AugustSmartLock at the Apple store..pretty good logo match . can't wait to install it! http://t.co/z8VKMhbnR3	1
Apple Contact sync between Yosemite and iOS8 is seriously screwed up. It used to be much more stable in the past. icloud isync	1
Apple Applenws Thanks to the non factual dumb Twitter followers stock drops 3 points in one minute. Thanks dummies. rumors	0
WARNING IF YOU BUY AN IPHONE 5S UNLOCKED FROM Apple IPHONE YOU CANNOT USE IT ON VERIZON NETWORK	1
"Apple John Cantlie has been a prisoner of ISIS for 739 days, show you have not abandoned him. Sign https://t.co/WTn4fuiJ0P"	0
Apple- thanks for xtra checkin at upper westside store- but why are appointments running almost 50 minutes late?	0
Why Apple Stock Had a Mini-Flash Crash Today: Money Morning: Nothing the analysts suggested would make a widel... http://t.co/jFGsSy2Ei3	0
$AAPL dip only momentarily....just an aberration in the equity world..Apple	0
The JH Hines Staff with their newly issued Apple ConnectED Macbook and iPad mini txed http://t.co/82YjiCJBxH	0
@robconeybeer: You need an IP portfolio to defend against big companies - just look at @Samsung Apple court battles	0
"Apple, For the love of GAWD, CENTER the '1'on the damn calendar app. You fixed it once, its back, off center, AGAIN! http://t.co/dMyAHEm1Lc"	1
i get the storage almost full notification literally every 5 minutes chill Apple	1
I had to do made the switch from iPhone 6 to the galaxy note edge. Apple keep up http://t.co/1Vve1htP0n	1
@ me RT @101Baemations: Can't stand those ppl with Apple stickers everywhere. 9/10 they prob just bought an iPod shuffle	1
Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
Latest Apple Products Leading in Efficiency http://t.co/KHeNlVT1FJ Apple iPhone iPad plugloads	1
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
Good be huge RT @thehill Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/QmLBuvG6Xz	0
@thehill Apple i cite the 4th amendment as a retort	0
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
RT @saxonidubom: @rwang0 Apple Thanks...thinking of upgrading.	1
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
Way to stay relevant RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/mptcggWZO1	0
Apple Inc. Flash Crash: What You Need to Know http://t.co/Ko9PT6yuMV Apple	0
"http://t.co/hpC7p1rHvA
need help on using your Apple iPhone6 &amp; iPhone6Plus ? checkitout
Applenws Apple http://t.co/K3fQHPazMc"	0
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
That flash crash really screwed with a lot of traders today. Not me. Im more determined than ever to make trading work for me Apple	1
RT @tra_hall: The JH Hines Staff with their newly issued Apple ConnectED Macbook and iPad mini txed http://t.co/82YjiCJBxH txed	0
Nigga update yall headphones Apple	1
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	1
"Ok, Apple. You win. I won't use your browser anymore since it keeps closing on me. Literally 8 times today. I counted."	1
RT @thehill: Justice Department cites 18th century federal law to get Apple to unlock iPhones: http://t.co/Eth0QpAIom	0
@thehill Apple I cite the us constitution where judges cannot pass laws! Violation of the separation of powers	1
Apple U need to get ur fucking shit together and let me txt while on YouTube	1
@thehill Apple Wish we could prosecute the admin for violation of privacy and criminal search and seizure	1
