text	sentiment
I have to say, Apple has by far the best customer care service I have ever received! apple AppStore	1
iOS 7 is so fricking smooth & beautiful!! #ThanxApple apple	1
LOVE U apple	1
Thank you apple, loving my new iPhone 5S!!!!!  apple #iphone5S pic.twitter.com/XmHJCU4pcb	1
.apple has the best customer service. In and out with a new phone in under 10min!	1
apple ear pods are AMAZING! Best sound from in-ear headphones I've ever had!	1
Omg the iPhone 5S is so cool it can read your finger print to unlock your iPhone 5S and to make purchases without a passcode apple apple	1
the iPhone 5c is so beautiful <3 apple	1
#AttributeOwnership is exactly why apple will always be #one! apple #marketing #marketer #business #innovation #fb	1
Just checked out the specs on the new iOS 7...wow is all I have to say! I can't wait to get the new update ?? Bravo apple	1
I love the new iOS so much!!!!! Thnx apple phillydvibing	1
Can't wait to get my #Iphone5S!!! apple	1
V2vista Fingerprint scanner: The killer feature of iPhone 5S. This is so bloody brilliant. apple timesnow http://toi.in/W0o-3Z	1
Interesting  how so  many people seem to be almost willing the demise of apple. What's going on? Still by far my favorite #brand. Fantastic	1
I LOVE BNBuzz NOOKstudy nookBN and apple made my life so much easier this morning !	1
Just watched the keynote of apple latest iPhones. I just love the #iPhone5S and #iphone5c ??? I guess, i have a christmas gift already????	1
My iPhone wasn't calling correctly so I went to an apple store (first time) told them and they gave me a brand new phone. #wow	1
Great job apple on providing best users experience #thinkauto	1
Swapped my #galaxys2 for an #iPhone4S. After one day I'd say I'm an apple convert!	1
Can't wait for my #orange phone upgrade in November :-) apple iPhone 5s here I come ;-) OrangeHelpers apple	1
#colored #iphone! The new 5C iphone comes in colors. I love this!! Can't wait till i can get one! apple apple #iphone5c	1
Whether you're an apple fan or not, this iPhone 5C video is worth watching, for lots of reasons http://bit.ly/18YbjLQ  #lovegreatdesign	1
apple Impressive features on the Iphone 5s - fingerprint recognition, now thats impressive!!! :)	1
KuqoGroup jimmykimmel BlackBerry apple that is unbelievably awesome!!!!! #clickitandlickit	1
EarPods are amazing, thanks apple	1
In luv with the iPhone 5s luv the champagne colour and the fingerprint reader apple	1
Used apple TV and explainevrythng to demonstrate student understanding of factors!  Awesome!	1
brody_knibbs haha mint arent they! top company apple	1
I'm back yaw, Thanks to apple !!!!!	1
Found a new way to work today courtesy of my iPhone. Way to go, apple maps! Is that the first time anyone's said that?	1
Dear apple, love the new default alarm ringtone. #goodmorning	1
apple I never noticed how good the iPhone 5 camera was #pug pic.twitter.com/0Z6ZD8FyMK	1
Just found out that apple added the #watchESPN app to AppleTV. I may never leave the house again! #SEC	1
apple products are the best. pic.twitter.com/X5Zy21XFI3	1
apple drawing on a mac is soooo cool! pic.twitter.com/w9ckPCEy0r	1
I was thinking about getting an android phone. But once I saw the #iphone5s apple had pulled me back in! iphone5s apple	1
jasonreiner after extensive research this new & innovative product was created by apple #trendsetters	1
I just dropped my phone down two flights of wooden stairs, no damage. Thanks apple !	1
thanks for your help apple	1
TraceyLiddle apple So ... I went to the Apple store...an hour away, and they were brilliant! Thanks! New, functioning, Ipad!  D!	1
I love how apple makes it easy to transfer between Macs while I continue to work! pic.twitter.com/lga2KaXa4b	1
The only time nokia_uk & apple should be mentioned in the same sentence on my TL is when Nokia is thanking apple>>	1
Hopefully I will get the new apple iPhone 5C for Christmas #iPhone5C	1
mfayax apple Thank you for the Apple.	1
The most stunning pictures/videos from the world of apple on our #instagram profile http://instagram.com/appsolution  pic.twitter.com/QqDZQe8s4F	1
Suddenly my faith in apple has been restored. Can't wait for the iPhone 5c now! http://ow.ly/22FbS4	1
Totally missed that apple are giving away iPhoto, iMovie +iWork free of charge to all new iPad owners. Awesome move!	1
The new apple 's #iPhone5S seems pretty cool #FingerprintsRecognitom  !!!! #iPhone apple	1
Wow apple huge thanks for the 24 hour review cycle! #Concepts 2.0 live with Stacks, Snap-To, improved Shapes, +more! pic.twitter.com/4vkIVK0S0Y	1
wow, just by the amount of MacBooks in this starbucks i would say apple is doing very well	1
iBrooklynB apple 5s gold!!	1
Windows apple ipad ftw	1
When you open Passbook, the screen gets brighter - automatically. It makes scanning the code flawless. That's why I'll stick to apple.	1
apple #iOS7..Everybody get ready to experience a operating system that kills any jail break. Absolutely Incredible! appletweets applenws	1
apple has done it again...the #5s is gonna be freaking sick	1
Lafond66 mallow610 apple recent apple convert who may my continue to be so by my next upgrade...brand is nothing. Usability is key	1
reason #2001 why when apple comes out with the new macbook pro I'm getting a that instead of pc.. #hatewindows #upgrade #stupidmicrosoft	1
iOS 7 finally introduces ringtones and alarms that don't suck. Was that so hard, apple? Thank you :)	1
.apple is straight legit! Sent my phone in Wednesday to get repaired. Got a new replacement phone back Friday Morning. I'm back!	1
My phone is now complete with #iRadio apple Thank You pic.twitter.com/gQg5XusYF7	1
All hyperbole aside, this article as well as apple are simply amazing aren't they? via FastCoDesign http://ow.ly/ovSzN	1
Okay phone companies. Stop palling around. apple can at least let me creep. Why can't anyone else? Get it together!	1
RT Jill_Martin77: Music to my ears apple #iPhone 5c is 'beautifully, unapologetically plastic' See more here: http://bit.ly/17pDIv1	1
iBrooklynB apple I loved iphonec better. Cuz name is awesome haha x	1
I #Fell Like #Working For apple When I'm Older, I Love Technology A lot, So I Wanna Make My Own Products or Help Design Them or Make Them.	1
Drumroll please! Joining apple & Samsung w big #news & new content this wk is: US! The LRWBlog Redesign!http://ow.ly/oNaZD  #happydance	1
Would love to #blog about the the new #iPhone5s if apple wants to send me one!!	1
After 7 years I finally had to get a new MacBook Pro battery!  Go apple! pic.twitter.com/XwqJEdhsvT	1
Which iPhone would you guys choose? iPhone 5s in white/silver or iPhone 5c in Green? :) apple	1
Does apple have a registry for gifts? Because I'm thinking about fake getting #married or #birthday registering for some things.	1
Thanks apple for the #itunesFestival  http://twitpic.com/dd6xjw	1
our good help ! thanks apple pic.twitter.com/lbU9dIufRF	1
I know this is going sound simple but with #ios7 without entering the password you have a flashlight #genius #simple apple #wow	1
apple leaps ahead again with Mobile Identity Management! Are you still stuck on MDM? anyone? MIM is the future!	1
Microsoft and Windows I am so done with you. Every laptop!!! #6monthlifespan ... apple come at me!	1
apple: You will be in my hands in just 8 days.  #iPhone5S #iPhone #IOS apple   #September20th pic.twitter.com/xWR5hVnjYC	1
tvmattscott I am a big believer in the apple store	1
I'm so glad that apple is skipping the megapixel war for better light sensitivity. Now it'll outdo some entry level SLRs!	1
FireandIce5935 johan_barnard Android apple ha! You can't tempt me tho! The apple force is too strong ;)	1
RT apple says the CoreMotion system on the iPhone 5S will empower a new generation of health and fitness apps	1
1 actually good thing from the apple announcement is the free apps on new iPhones (Pages, Numbers, Keynote, iPhoto, iMovie) via...	1
Good news: apple replaced my phone! Bad news: I lost my bubblemania spot...went from 180 down to 1 :( lxforever laurenjessa	1
1 actually good thing from the apple announcement is the free apps on new iPhones (Pages, Numbers, Keynote, iPhoto, iMovie)	1
.Sephora = apple of #beauty industry.Incredible brand, online &in-store experience+addit'n of FREE classes! #retail pic.twitter.com/JaGQQKJmr3	1
Stick to apple..reason, None of the smart phone manufacturers are rolling out their new software upgrade to older generations.	1
U say dat iphone 5s dint bring anythng new??? We'll see wen it wil sell like hot cakes #iphone apple	1
Inviting all Musicians to check out this Innovative Music App ScaleBoxApp apple iTunesMusic apple #iPhone #iTunes http://forbit.ly/scaleboxapp	1
Loving the vintage apple pen in home office today as I wait for #iPhone5S! pic.twitter.com/u1ifCDdHEI	1
Didn't buy something this time applestoreamsterdam, yet got great service and a new appletv on the spot tks apple love #geniusbar	1
I can see a new and improved bPhone from Beyonce and apple	1
Just Got A Brand New iPhone 5 apple :D pic.twitter.com/SJ86URqVm8	1
Whelp...I'm due for a phone upgrade...the apple 5S is my choice...not sure about color though...gold? ehhh....	1
Excited about apple introducing #TouchID and biometric security. Hoping an API will soon be released for devs to take advantage.	1
apple repaired my dead SSD and upgraded me to Mountain Lion. Thank you. That saved us some time today.	1
FOLLOW apple NOW	1
